log_name,timestamp,id,index,container_id,container_name,log,source
du,2025-09-18 17:43:44,3azCXJkBdI0Tb9Y5H_Xf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 65813488 pps   25046 kbps  970391][tx 73780272 pps   28032 kbps 1892001][Total Msgs_Rcvd 65813488],stdout
du,2025-09-18 17:43:44,3qzCXJkBdI0Tb9Y5H_Xf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 61770736 prach0 4042752],stdout
du,2025-09-18 17:43:44,36zCXJkBdI0Tb9Y5H_Xf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[PHY]   prach_I0 = 32.2 dB,stdout
du,2025-09-18 17:43:44,4KzCXJkBdI0Tb9Y5H_Xf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[PHY]   prach_I0 = 32.2 dB,stdout
du,2025-09-18 17:43:42,16zCXJkBdI0Tb9Y5GPUf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 896.0,stdout
du,2025-09-18 17:43:42,2azCXJkBdI0Tb9Y5GPUf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 65788442 pps   25024 kbps  970075][tx 73752240 pps   28032 kbps 1892001][Total Msgs_Rcvd 65788442],stdout
du,2025-09-18 17:43:42,2qzCXJkBdI0Tb9Y5GPUf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 61747226 prach0 4041216],stdout
du,2025-09-18 17:43:41,06zCXJkBdI0Tb9Y5FPUK,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 768.0,stdout
du,2025-09-18 17:43:41,1azCXJkBdI0Tb9Y5FPUK,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 65763418 pps   24998 kbps  969445][tx 73724208 pps   28032 kbps 1892001][Total Msgs_Rcvd 65763418],stdout
du,2025-09-18 17:43:41,1qzCXJkBdI0Tb9Y5FPUK,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 61723738 prach0 4039680],stdout
